Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
6400090,The Last Song,Nicholas Sparks,"Sparks, Nicholas",,"=""0446547565""","=""9780446547567""",5,4.16,Grand Central Publishing,Paperback,390,2010,2009,2010/03/01,2020/04/26,movies-tv-shows,movies-tv-shows (#36),read,,,,1,0
11870085,The Fault in Our Stars,John Green,"Green, John",,"=""""","=""""",5,4.12,Dutton Books,Hardcover,313,2012,2012,2014/06/01,2020/04/26,movies-tv-shows,movies-tv-shows (#22),read,,,,1,0
366522,"P.S. I Love You (P.S. I Love You, #1)",Cecelia Ahern,"Ahern, Cecelia",,"=""0786890754""","=""9780786890750""",5,4.04,Hachette Books,Paperback,501,2004,2004,,2020/04/26,movies-tv-shows,movies-tv-shows (#54),read,,,,1,0
5526,Dear John,Nicholas Sparks,"Sparks, Nicholas",,"=""0446528056""","=""9780446528054""",5,4.04,Warner Books (NY),Hardcover,276,2006,2006,2010/01/01,2020/04/26,movies-tv-shows,movies-tv-shows (#37),read,,,,1,0
18135,Romeo and Juliet,William Shakespeare,"Shakespeare, William",,"=""0743477111""","=""9780743477116""",2,3.74,Washington Square Press,Mass Market Paperback,281,2002,1590,2008/08/01,2020/04/26,"high-school-english, movies-tv-shows","high-school-english (#19), movies-tv-shows (#41)",read,,,,1,0
17347634,"Me Before You (Me Before You, #1)",Jojo Moyes,"Moyes, Jojo",,"=""0670026603""","=""9780670026609""",5,4.26,Pamela Dorman Books,Hardcover,369,2012,2012,2016/05/01,2020/04/26,movies-tv-shows,movies-tv-shows (#18),read,,,,1,0
33648131,"The Notebook (The Notebook, #1)",Nicholas Sparks,"Sparks, Nicholas",,"=""""","=""""",5,4.16,Grand Central Publishing,Kindle Edition,227,2016,1996,2010/06/01,2020/04/26,movies-tv-shows,movies-tv-shows (#34),read,,,,1,0
24417769,"It's In His Heart (Red River Valley, #1)",Shelly Alexander,"Alexander, Shelly",,"=""1477879900""","=""9781477879900""",0,3.90,Montlake Romance,Kindle Edition,304,2015,2015,,2020/05/06,to-read,to-read (#69),to-read,,,,1,0
49405179,The Return,Nicholas Sparks,"Sparks, Nicholas",,"=""1538728575""","=""9781538728574""",0,3.90,Grand Central Publishing,Hardcover,355,2020,2020,,2020/06/27,to-read,to-read (#62),to-read,,,,0,0
12875355,Death Comes to Pemberley,P.D. James,"James, P.D.",,"=""0307959856""","=""9780307959850""",0,3.30,Alfred A. Knopf,Hardcover,291,2011,2011,,2020/05/15,"to-read, pride-and-prejudice-inspired","to-read (#56), pride-and-prejudice-inspired (#7)",to-read,,,,0,0
